platform,year,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_id
Wii,2006.0,Nintendo,41.49,29.02,3.77,8.46,82.74,1
NES,1985.0,Nintendo,29.08,3.58,6.81,0.77,40.24,2
GB,1999.0,Nintendo,3.4,1.3,0.15,0.22,5.07,2
Wii,2008.0,Nintendo,15.85,12.88,3.79,3.31,35.82,3
Wii,2009.0,Nintendo,15.75,11.01,3.28,2.96,33.0,4
GB,1996.0,Nintendo,11.27,8.89,10.22,1.0,31.37,5
GB,1989.0,Nintendo,23.2,2.26,4.22,0.58,30.26,6
NES,1988.0,Nintendo,2.97,0.69,1.81,0.11,5.58,6
DS,2006.0,Nintendo,11.38,9.23,6.5,2.9,30.01,7
Wii,2006.0,Nintendo,14.03,9.2,2.93,2.85,29.02,8
Wii,2009.0,Nintendo,14.59,7.06,4.7,2.26,28.62,9
NES,1984.0,Nintendo,26.93,0.63,0.28,0.47,28.31,10
DS,2005.0,Nintendo,9.07,11.0,1.93,2.75,24.76,11
DS,2005.0,Nintendo,9.81,7.57,4.13,1.92,23.42,12
GB,1999.0,Nintendo,9.0,6.18,7.2,0.71,23.1,13
Wii,2007.0,Nintendo,8.94,8.03,3.6,2.15,22.72,14
Wii,2009.0,Nintendo,9.09,8.59,2.53,1.79,22.0,15
X360,2010.0,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,16
PS3,2013.0,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,17
X360,2013.0,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,17
PS4,2014.0,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,17
XOne,2014.0,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,17
PC,2015.0,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08,17
PS2,2004.0,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,18
XB,2005.0,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,18
PC,2005.0,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,18
X360,2008.0,Take-Two Interactive,0.08,0.03,0.0,0.01,0.12,18
SNES,1990.0,Nintendo,12.78,3.75,3.54,0.55,20.61,19
GBA,2001.0,Nintendo,3.21,1.11,0.95,0.2,5.46,19
DS,2005.0,Nintendo,4.75,9.26,4.16,2.05,20.22,20
DS,2006.0,Nintendo,6.42,4.52,6.04,1.37,18.36,21
GB,1989.0,Nintendo,10.83,2.71,4.18,0.42,18.14,22
NES,1988.0,Nintendo,9.54,3.44,3.84,0.46,17.28,23
GBA,2003.0,Nintendo,2.93,1.25,0.83,0.2,5.2,23
PS2,2002.0,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,25
PC,2003.0,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04,25
GBA,2002.0,Nintendo,6.06,3.9,5.38,0.5,15.85,26
DS,2010.0,Nintendo,5.57,3.28,5.65,0.82,15.32,27
DS,2005.0,Nintendo,3.44,5.36,5.32,1.18,15.3,28
PS2,2001.0,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,29
X360,2011.0,Activision,9.03,4.28,0.13,1.32,14.76,30
PS3,2011.0,Activision,5.54,5.82,0.49,1.62,13.46,30
PC,2011.0,Activision,0.41,0.98,0.0,0.33,1.72,30
Wii,2011.0,Activision,0.6,0.21,0.0,0.08,0.89,30
